frequency	gain
1.000000000000000e+006	3.768236e+002
1.023292992280754e+006	3.773996e+002
1.047128548050900e+006	3.779525e+002
1.071519305237606e+006	3.784831e+002
1.096478196143185e+006	3.789922e+002
1.122018454301963e+006	3.794806e+002
1.148153621496883e+006	3.799490e+002
1.174897554939529e+006	3.803982e+002
1.202264434617413e+006	3.808289e+002
1.230268770812381e+006	3.812418e+002
1.258925411794167e+006	3.816375e+002
1.288249551693134e+006	3.820167e+002
1.318256738556407e+006	3.823800e+002
1.348962882591653e+006	3.827281e+002
1.380384264602884e+006	3.830616e+002
1.412537544622754e+006	3.833809e+002
1.445439770745927e+006	3.836867e+002
1.479108388168207e+006	3.839796e+002
1.513561248436208e+006	3.842600e+002
1.548816618912481e+006	3.845284e+002
1.584893192461113e+006	3.847853e+002
1.621810097358929e+006	3.850312e+002
1.659586907437560e+006	3.852665e+002
1.698243652461744e+006	3.854917e+002
1.737800828749375e+006	3.857072e+002
1.778279410038922e+006	3.859134e+002
1.819700858609983e+006	3.861106e+002
1.862087136662867e+006	3.862993e+002
1.905460717963246e+006	3.864798e+002
1.949844599758044e+006	3.866524e+002
1.995262314968878e+006	3.868175e+002
2.041737944669528e+006	3.869754e+002
2.089296130854038e+006	3.871264e+002
2.137962089502231e+006	3.872708e+002
2.187761623949551e+006	3.874088e+002
2.238721138568338e+006	3.875408e+002
2.290867652767771e+006	3.876670e+002
2.344228815319920e+006	3.877877e+002
2.398832919019489e+006	3.879030e+002
2.454708915685028e+006	3.880133e+002
2.511886431509578e+006	3.881187e+002
2.570395782768862e+006	3.882194e+002
2.630267991895380e+006	3.883157e+002
2.691534803926914e+006	3.884077e+002
2.754228703338164e+006	3.884957e+002
2.818382931264451e+006	3.885798e+002
2.884031503126603e+006	3.886601e+002
2.951209226666383e+006	3.887369e+002
3.019951720402013e+006	3.888102e+002
3.090295432513587e+006	3.888804e+002
3.162277660168376e+006	3.889474e+002
3.235936569296279e+006	3.890114e+002
3.311311214825907e+006	3.890725e+002
3.388441561392021e+006	3.891310e+002
3.467368504525312e+006	3.891868e+002
3.548133892335750e+006	3.892402e+002
3.630780547701009e+006	3.892912e+002
3.715352290971720e+006	3.893399e+002
3.801893963205607e+006	3.893864e+002
3.890451449942801e+006	3.894309e+002
3.981071705534967e+006	3.894734e+002
4.073802778041122e+006	3.895139e+002
4.168693834703348e+006	3.895527e+002
4.265795188015920e+006	3.895898e+002
4.365158322401653e+006	3.896251e+002
4.466835921509625e+006	3.896589e+002
4.570881896148743e+006	3.896912e+002
4.677351412871975e+006	3.897220e+002
4.786300923226376e+006	3.897515e+002
4.897788193684454e+006	3.897797e+002
5.011872336272715e+006	3.898065e+002
5.128613839913640e+006	3.898322e+002
5.248074602497717e+006	3.898568e+002
5.370317963702519e+006	3.898802e+002
5.495408738576236e+006	3.899026e+002
5.623413251903481e+006	3.899240e+002
5.754399373371559e+006	3.899444e+002
5.888436553555879e+006	3.899640e+002
6.025595860743566e+006	3.899826e+002
6.165950018614810e+006	3.900004e+002
6.309573444801920e+006	3.900174e+002
6.456542290346542e+006	3.900337e+002
6.606934480075947e+006	3.900492e+002
6.760829753919805e+006	3.900640e+002
6.918309709189351e+006	3.900782e+002
7.079457843841365e+006	3.900917e+002
7.244359600749886e+006	3.901047e+002
7.413102413009159e+006	3.901170e+002
7.585775750291822e+006	3.901288e+002
7.762471166286901e+006	3.901401e+002
7.943282347242798e+006	3.901509e+002
8.128305161640975e+006	3.901612e+002
8.317637711026692e+006	3.901710e+002
8.511380382023746e+006	3.901804e+002
8.709635899560787e+006	3.901894e+002
8.912509381337434e+006	3.901979e+002
9.120108393559076e+006	3.902061e+002
9.332543007969888e+006	3.902140e+002
9.549925860214336e+006	3.902215e+002
9.772372209558083e+006	3.902286e+002
9.999999999999976e+006	3.902355e+002
1.023292992280752e+007	3.902420e+002
1.047128548050897e+007	3.902483e+002
1.071519305237604e+007	3.902542e+002
1.096478196143182e+007	3.902599e+002
1.122018454301961e+007	3.902654e+002
1.148153621496880e+007	3.902707e+002
1.174897554939527e+007	3.902756e+002
1.202264434617410e+007	3.902804e+002
1.230268770812378e+007	3.902850e+002
1.258925411794164e+007	3.902894e+002
1.288249551693131e+007	3.902936e+002
1.318256738556404e+007	3.902976e+002
1.348962882591650e+007	3.903015e+002
1.380384264602881e+007	3.903051e+002
1.412537544622750e+007	3.903087e+002
1.445439770745923e+007	3.903120e+002
1.479108388168203e+007	3.903153e+002
1.513561248436204e+007	3.903184e+002
1.548816618912477e+007	3.903214e+002
1.584893192461109e+007	3.903242e+002
1.621810097358925e+007	3.903270e+002
1.659586907437555e+007	3.903296e+002
1.698243652461739e+007	3.903322e+002
1.737800828749370e+007	3.903346e+002
1.778279410038917e+007	3.903370e+002
1.819700858609978e+007	3.903392e+002
1.862087136662862e+007	3.903414e+002
1.905460717963241e+007	3.903435e+002
1.949844599758039e+007	3.903456e+002
1.995262314968874e+007	3.903475e+002
2.041737944669523e+007	3.903494e+002
2.089296130854033e+007	3.903513e+002
2.137962089502225e+007	3.903530e+002
2.187761623949546e+007	3.903548e+002
2.238721138568332e+007	3.903564e+002
2.290867652767766e+007	3.903581e+002
2.344228815319914e+007	3.903597e+002
2.398832919019482e+007	3.903612e+002
2.454708915685022e+007	3.903628e+002
2.511886431509572e+007	3.903643e+002
2.570395782768855e+007	3.903657e+002
2.630267991895373e+007	3.903671e+002
2.691534803926906e+007	3.903686e+002
2.754228703338157e+007	3.903699e+002
2.818382931264444e+007	3.903713e+002
2.884031503126596e+007	3.903727e+002
2.951209226666375e+007	3.903740e+002
3.019951720402005e+007	3.903754e+002
3.090295432513579e+007	3.903767e+002
3.162277660168367e+007	3.903780e+002
3.235936569296270e+007	3.903794e+002
3.311311214825898e+007	3.903807e+002
3.388441561392012e+007	3.903820e+002
3.467368504525303e+007	3.903834e+002
3.548133892335741e+007	3.903848e+002
3.630780547701000e+007	3.903861e+002
3.715352290971711e+007	3.903875e+002
3.801893963205598e+007	3.903889e+002
3.890451449942792e+007	3.903904e+002
3.981071705534957e+007	3.903918e+002
4.073802778041112e+007	3.903933e+002
4.168693834703338e+007	3.903949e+002
4.265795188015910e+007	3.903964e+002
4.365158322401643e+007	3.903980e+002
4.466835921509614e+007	3.903997e+002
4.570881896148732e+007	3.904014e+002
4.677351412871964e+007	3.904031e+002
4.786300923226365e+007	3.904049e+002
4.897788193684442e+007	3.904068e+002
5.011872336272702e+007	3.904087e+002
5.128613839913628e+007	3.904106e+002
5.248074602497704e+007	3.904127e+002
5.370317963702505e+007	3.904148e+002
5.495408738576223e+007	3.904170e+002
5.623413251903468e+007	3.904193e+002
5.754399373371545e+007	3.904217e+002
5.888436553555865e+007	3.904241e+002
6.025595860743552e+007	3.904267e+002
6.165950018614795e+007	3.904294e+002
6.309573444801905e+007	3.904321e+002
6.456542290346527e+007	3.904350e+002
6.606934480075931e+007	3.904380e+002
6.760829753919788e+007	3.904412e+002
6.918309709189335e+007	3.904444e+002
7.079457843841347e+007	3.904478e+002
7.244359600749868e+007	3.904514e+002
7.413102413009141e+007	3.904551e+002
7.585775750291804e+007	3.904590e+002
7.762471166286883e+007	3.904630e+002
7.943282347242780e+007	3.904673e+002
8.128305161640957e+007	3.904716e+002
8.317637711026673e+007	3.904763e+002
8.511380382023726e+007	3.904811e+002
8.709635899560767e+007	3.904861e+002
8.912509381337415e+007	3.904914e+002
9.120108393559055e+007	3.904969e+002
9.332543007969867e+007	3.905027e+002
9.549925860214314e+007	3.905087e+002
9.772372209558059e+007	3.905150e+002
9.999999999999951e+007	3.905216e+002
1.023292992280749e+008	3.905284e+002
1.047128548050894e+008	3.905357e+002
1.071519305237601e+008	3.905432e+002
1.096478196143179e+008	3.905511e+002
1.122018454301958e+008	3.905593e+002
1.148153621496877e+008	3.905680e+002
1.174897554939523e+008	3.905770e+002
1.202264434617407e+008	3.905865e+002
1.230268770812375e+008	3.905963e+002
1.258925411794161e+008	3.906067e+002
1.288249551693127e+008	3.906175e+002
1.318256738556400e+008	3.906288e+002
1.348962882591646e+008	3.906407e+002
1.380384264602877e+008	3.906531e+002
1.412537544622746e+008	3.906661e+002
1.445439770745919e+008	3.906797e+002
1.479108388168199e+008	3.906939e+002
1.513561248436199e+008	3.907088e+002
1.548816618912472e+008	3.907244e+002
1.584893192461104e+008	3.907407e+002
1.621810097358921e+008	3.907577e+002
1.659586907437551e+008	3.907756e+002
1.698243652461734e+008	3.907943e+002
1.737800828749365e+008	3.908138e+002
1.778279410038912e+008	3.908342e+002
1.819700858609973e+008	3.908557e+002
1.862087136662856e+008	3.908781e+002
1.905460717963236e+008	3.909015e+002
1.949844599758034e+008	3.909260e+002
1.995262314968867e+008	3.909517e+002
2.041737944669517e+008	3.909785e+002
2.089296130854026e+008	3.910066e+002
2.137962089502219e+008	3.910360e+002
2.187761623949539e+008	3.910667e+002
2.238721138568325e+008	3.910989e+002
2.290867652767758e+008	3.911326e+002
2.344228815319907e+008	3.911678e+002
2.398832919019475e+008	3.912046e+002
2.454708915685014e+008	3.912432e+002
2.511886431509564e+008	3.912835e+002
2.570395782768847e+008	3.913257e+002
2.630267991895365e+008	3.913698e+002
2.691534803926898e+008	3.914159e+002
2.754228703338148e+008	3.914641e+002
2.818382931264435e+008	3.915146e+002
2.884031503126587e+008	3.915674e+002
2.951209226666366e+008	3.916226e+002
3.019951720401996e+008	3.916804e+002
3.090295432513570e+008	3.917407e+002
3.162277660168358e+008	3.918038e+002
3.235936569296261e+008	3.918698e+002
3.311311214825889e+008	3.919389e+002
