frequency	gain
1.000000000000000e+006	7.456011e+002
1.023292992280754e+006	7.482618e+002
1.047128548050900e+006	7.509548e+002
1.071519305237606e+006	7.536843e+002
1.096478196143185e+006	7.564542e+002
1.122018454301963e+006	7.592682e+002
1.148153621496883e+006	7.621304e+002
1.174897554939529e+006	7.650442e+002
1.202264434617413e+006	7.680134e+002
1.230268770812381e+006	7.710416e+002
1.258925411794167e+006	7.741320e+002
1.288249551693134e+006	7.772882e+002
1.318256738556407e+006	7.805134e+002
1.348962882591653e+006	7.838109e+002
1.380384264602884e+006	7.871836e+002
1.412537544622754e+006	7.906346e+002
1.445439770745927e+006	7.941670e+002
1.479108388168207e+006	7.977833e+002
1.513561248436208e+006	8.014864e+002
1.548816618912481e+006	8.052788e+002
1.584893192461113e+006	8.091630e+002
1.621810097358929e+006	8.131412e+002
1.659586907437560e+006	8.172158e+002
1.698243652461744e+006	8.213888e+002
1.737800828749375e+006	8.256621e+002
1.778279410038922e+006	8.300375e+002
1.819700858609983e+006	8.345165e+002
1.862087136662867e+006	8.391006e+002
1.905460717963246e+006	8.437911e+002
1.949844599758044e+006	8.485891e+002
1.995262314968878e+006	8.534954e+002
2.041737944669528e+006	8.585106e+002
2.089296130854038e+006	8.636354e+002
2.137962089502231e+006	8.688699e+002
2.187761623949551e+006	8.742141e+002
2.238721138568338e+006	8.796679e+002
2.290867652767771e+006	8.852308e+002
2.344228815319920e+006	8.909022e+002
2.398832919019489e+006	8.966809e+002
2.454708915685028e+006	9.025659e+002
2.511886431509578e+006	9.085556e+002
2.570395782768862e+006	9.146483e+002
2.630267991895380e+006	9.208420e+002
2.691534803926914e+006	9.271342e+002
2.754228703338164e+006	9.335225e+002
2.818382931264451e+006	9.400038e+002
2.884031503126603e+006	9.465751e+002
2.951209226666383e+006	9.532329e+002
3.019951720402013e+006	9.599734e+002
3.090295432513587e+006	9.667926e+002
3.162277660168376e+006	9.736862e+002
3.235936569296279e+006	9.806495e+002
3.311311214825907e+006	9.876779e+002
3.388441561392021e+006	9.947663e+002
3.467368504525312e+006	1.001909e+003
3.548133892335750e+006	1.009101e+003
3.630780547701009e+006	1.016337e+003
3.715352290971720e+006	1.023609e+003
3.801893963205607e+006	1.030914e+003
3.890451449942801e+006	1.038243e+003
3.981071705534967e+006	1.045591e+003
4.073802778041122e+006	1.052951e+003
4.168693834703348e+006	1.060317e+003
4.265795188015920e+006	1.067681e+003
4.365158322401653e+006	1.075038e+003
4.466835921509625e+006	1.082381e+003
4.570881896148743e+006	1.089702e+003
4.677351412871975e+006	1.096996e+003
4.786300923226376e+006	1.104255e+003
4.897788193684454e+006	1.111474e+003
5.011872336272715e+006	1.118645e+003
5.128613839913640e+006	1.125763e+003
5.248074602497717e+006	1.132821e+003
5.370317963702519e+006	1.139814e+003
5.495408738576236e+006	1.146736e+003
5.623413251903481e+006	1.153580e+003
5.754399373371559e+006	1.160343e+003
5.888436553555879e+006	1.167019e+003
6.025595860743566e+006	1.173604e+003
6.165950018614810e+006	1.180092e+003
6.309573444801920e+006	1.186480e+003
6.456542290346542e+006	1.192763e+003
6.606934480075947e+006	1.198939e+003
6.760829753919805e+006	1.205004e+003
6.918309709189351e+006	1.210955e+003
7.079457843841365e+006	1.216789e+003
7.244359600749886e+006	1.222505e+003
7.413102413009159e+006	1.228099e+003
7.585775750291822e+006	1.233572e+003
7.762471166286901e+006	1.238920e+003
7.943282347242798e+006	1.244143e+003
8.128305161640975e+006	1.249240e+003
8.317637711026692e+006	1.254210e+003
8.511380382023746e+006	1.259054e+003
8.709635899560787e+006	1.263771e+003
8.912509381337434e+006	1.268362e+003
9.120108393559076e+006	1.272827e+003
9.332543007969888e+006	1.277167e+003
9.549925860214336e+006	1.281382e+003
9.772372209558083e+006	1.285474e+003
9.999999999999976e+006	1.289443e+003
1.023292992280752e+007	1.293292e+003
1.047128548050897e+007	1.297022e+003
1.071519305237604e+007	1.300635e+003
1.096478196143182e+007	1.304132e+003
1.122018454301961e+007	1.307516e+003
1.148153621496880e+007	1.310789e+003
1.174897554939527e+007	1.313952e+003
1.202264434617410e+007	1.317008e+003
1.230268770812378e+007	1.319959e+003
1.258925411794164e+007	1.322808e+003
1.288249551693131e+007	1.325557e+003
1.318256738556404e+007	1.328208e+003
1.348962882591650e+007	1.330765e+003
1.380384264602881e+007	1.333228e+003
1.412537544622750e+007	1.335602e+003
1.445439770745923e+007	1.337888e+003
1.479108388168203e+007	1.340088e+003
1.513561248436204e+007	1.342206e+003
1.548816618912477e+007	1.344244e+003
1.584893192461109e+007	1.346204e+003
1.621810097358925e+007	1.348089e+003
1.659586907437555e+007	1.349901e+003
1.698243652461739e+007	1.351642e+003
1.737800828749370e+007	1.353315e+003
1.778279410038917e+007	1.354922e+003
1.819700858609978e+007	1.356465e+003
1.862087136662862e+007	1.357947e+003
1.905460717963241e+007	1.359369e+003
1.949844599758039e+007	1.360734e+003
1.995262314968874e+007	1.362043e+003
2.041737944669523e+007	1.363300e+003
2.089296130854033e+007	1.364505e+003
2.137962089502225e+007	1.365660e+003
2.187761623949546e+007	1.366768e+003
2.238721138568332e+007	1.367831e+003
2.290867652767766e+007	1.368849e+003
